Bin | Expected (Py) | FFT Core (Raw) | SPI Rx (Final) | Status
179 | 00000000 | 00000000 | 00000000 |  OK
180 | 00000000 | 00000000 | 00000000 |  OK
181 | 00000000 | 00000000 | 018e0336 | ERR
182 | 0190ff3d | 0192ff3e | 00000000 | ERR
183 | 00000000 | 00000000 | 00000000 |  OK
184 | 00000000 | 00000000 | 00000000 |  OK
185 | 00000000 | 00000000 | 018e036a | ERR
186 | 018fff49 | 0190ff4a | 00000000 | ERR
187 | 00000000 | 00000000 | 00000000 |  OK
188 | 00000000 | 00000000 | 00000000 |  OK
189 | 00000000 | 00000000 | 018e03a5 | ERR
190 | 0190ff55 | 0190ff55 | 00000000 | ERR
191 | 00000000 | 00000000 | 00000000 |  OK
192 | 00000000 | 00000000 | 00000000 |  OK
193 | 00000000 | 00000000 | 019203e6 | ERR
194 | 018fff61 | 0190ff60 | 00000000 | ERR
195 | 00000000 | 00000000 | 00000000 |  OK
196 | 00000000 | 00000000 | 00000000 |  OK
197 | 00000000 | 00000000 | 01920435 | ERR
198 | 0190ff6c | 0190ff6b | 00000000 | ERR
199 | 00000000 | 00000000 | 00000000 |  OK
200 | 00000000 | 00000000 | 00000000 |  OK
201 | 00000000 | 00000000 | 0194048b | ERR
202 | 018fff77 | 0190ff75 | 00000000 | ERR
203 | 00000000 | 00000000 | 00000000 |  OK
204 | 00000000 | 00000000 | 00000000 |  OK
205 | 00000000 | 00000000 | 018a04ef | ERR
206 | 0190ff82 | 0190ff83 | 00000000 | ERR
207 | 00000000 | 00000000 | 00000000 |  OK
208 | 00000000 | 00000000 | 00000000 |  OK
209 | 00000000 | 00000000 | 01930561 | ERR
210 | 018fff8d | 018fff8b | 00000000 | ERR
211 | 00000000 | 00000000 | 00000000 |  OK
212 | 00000000 | 00000000 | 00000000 |  OK
213 | 00000000 | 00000000 | 018f05f3 | ERR
214 | 018fff97 | 0191ff97 | 00000000 | ERR
215 | 00000000 | 00000000 | 00000000 |  OK
216 | 00000000 | 00000000 | 00000000 |  OK
217 | 00000000 | 00000000 | 018e0694 | ERR
218 | 018fffa2 | 0190ffa2 | 00000000 | ERR
219 | 00000000 | 00000000 | 00000000 |  OK
220 | 00000000 | 00000000 | 00000000 |  OK
221 | 00000000 | 00000000 | 01900762 | ERR
222 | 018fffac | 0190ffac | 00000000 | ERR
223 | 00000000 | 00000000 | 00000000 |  OK
224 | 00000000 | 00000000 | 00000000 |  OK
225 | 00000000 | 00000000 | 01900864 | ERR
226 | 0190ffb6 | 0190ffb6 | 00000000 | ERR
227 | 00000000 | 00000000 | 00000000 |  OK
228 | 00000000 | 00000000 | 00000000 |  OK
229 | 00000000 | 00000000 | 019009b4 | ERR
230 | 0190ffc0 | 0190ffc0 | 00000000 | ERR
231 | 00000000 | 00000000 | 00000000 |  OK
232 | 00000000 | 00000000 | 00000000 |  OK
233 | 00000000 | 00000000 | 01910b88 | ERR
234 | 0190ffca | 0191ffca | 00000000 | ERR
235 | 00000000 | 00000000 | 00000000 |  OK
236 | 00000000 | 00000000 | 00000000 |  OK
237 | 00000000 | 00000000 | 018b0e0e | ERR
238 | 0190ffd4 | 018fffd4 | 00000000 | ERR
239 | 00000000 | 00000000 | 00000000 |  OK
240 | 00000000 | 00000000 | 00000000 |  OK
241 | 00000000 | 00000000 | 019c1221 | ERR
242 | 018fffde | 0190ffdd | 00000000 | ERR
243 | 00000000 | 00000000 | 00000000 |  OK
244 | 00000000 | 00000000 | 00000000 |  OK
245 | 00000000 | 00000000 | 01841973 | ERR
246 | 018fffe8 | 0190ffe9 | 00000000 | ERR
247 | 00000000 | 00000000 | 00000000 |  OK
248 | 00000000 | 00000000 | 00000000 |  OK
249 | 00000000 | 00000000 | 018f2a7e | ERR
250 | 0190fff2 | 0191fff2 | 00000000 | ERR
251 | 00000000 | 00000000 | 00000000 |  OK
252 | 00000000 | 00000000 | 00000000 |  OK
253 | 00000000 | 00000000 | 01907f4d | ERR
254 | 0190fffc | 0190fffb | 00000000 | ERR
255 | 00000000 | 00000000 | 00000000 |  OK
256 | 00000000 | 00000000 | 00000000 |  OK
257 | 00000000 | 00000000 | 019080b3 | ERR
258 | 018f0004 | 01900005 | 00000000 | ERR
259 | 00000000 | 00000000 | 00000000 |  OK
260 | 00000000 | 00000000 | 00000000 |  OK
261 | 00000000 | 00000000 | 018fd582 | ERR
262 | 0190000e | 0191000e | 00010000 | ERR
263 | 00000000 | 00000000 | 00000000 |  OK
264 | 00000000 | 00000000 | 00000000 |  OK
265 | 00000000 | 00000000 | 0184e68d | ERR
266 | 018f0018 | 01900017 | 00000000 | ERR
267 | 00000000 | 00000000 | 00000000 |  OK
268 | 00000000 | 00000000 | 00000000 |  OK
269 | 00000000 | 00000000 | 019ceddf | ERR
270 | 018f0022 | 01900023 | 00000000 | ERR
271 | 00000000 | 00000000 | 00000000 |  OK
272 | 00000000 | 00000000 | 00000000 |  OK
273 | 00000000 | 00000000 | 018bf1f2 | ERR
274 | 0190002c | 018f002c | 00000000 | ERR
275 | 00000000 | 00000000 | 00000000 |  OK
276 | 00000000 | 00000000 | 00000000 |  OK
277 | 00000000 | 00000000 | 0191f478 | ERR
278 | 01900036 | 01910036 | 00000000 | ERR
279 | 00000000 | 00000000 | 00000000 |  OK
280 | 00000000 | 00000000 | 00000000 |  OK
281 | 00000000 | 00000000 | 0190f64c | ERR
282 | 01900040 | 01900040 | 00000000 | ERR
283 | 00000000 | 00000000 | 00000000 |  OK
284 | 00000000 | 00000000 | 00000000 |  OK
285 | 00000000 | 00000000 | 0190f79c | ERR
286 | 0190004a | 0190004a | 00000000 | ERR
287 | 00000000 | 00000000 | 00000000 |  OK
288 | 00000000 | 00000000 | 00000000 |  OK
289 | 00000000 | 00000000 | 0190f89e | ERR
290 | 018f0054 | 01900054 | 00000000 | ERR
291 | 00000000 | 00000000 | 00000000 |  OK
292 | 00000000 | 00000000 | 00000000 |  OK
293 | 00000000 | 00000000 | 018ef96c | ERR
294 | 0190005e | 0190005e | 00000000 | ERR
295 | 00000000 | 00000000 | 00000000 |  OK
296 | 00000000 | 00000000 | 00000000 |  OK
297 | 00000000 | 00000000 | 018ffa0d | ERR
298 | 01900069 | 01910069 | 00000000 | ERR
299 | 00000000 | 00000000 | 00000000 |  OK
300 | 00000000 | 00000000 | 00000000 |  OK
301 | 00000000 | 00000000 | 0193fa9f | ERR
302 | 01900073 | 018f0075 | 00000000 | ERR
303 | 00000000 | 00000000 | 00000000 |  OK
304 | 00000000 | 00000000 | 00000000 |  OK
305 | 00000000 | 00000000 | 018afb11 | ERR
306 | 018f007e | 0190007d | 00000000 | ERR
307 | 00000000 | 00000000 | 00000000 |  OK
308 | 00000000 | 00000000 | 00000000 |  OK
309 | 00000000 | 00000000 | 0194fb75 | ERR
310 | 018f0089 | 0190008b | 00000000 | ERR
311 | 00000000 | 00000000 | 00000000 |  OK
312 | 00000000 | 00000000 | 00000000 |  OK
313 | 00000000 | 00000000 | 0192fbcb | ERR
314 | 01900094 | 01900095 | 00000000 | ERR
315 | 00000000 | 00000000 | 00000000 |  OK
316 | 00000000 | 00000000 | 00000000 |  OK
317 | 00000000 | 00000000 | 0192fc1a | ERR
318 | 018f009f | 019000a0 | 00000000 | ERR
319 | 00000000 | 00000000 | 00000000 |  OK
320 | 00000000 | 00000000 | 00000000 |  OK
321 | 00000000 | 00000000 | 018efc5b | ERR
322 | 019000ab | 019000ab | 00000000 | ERR
323 | 00000000 | 00000000 | 00000000 |  OK
324 | 00000000 | 00000000 | 00000000 |  OK
325 | 00000000 | 00000000 | 018efc96 | ERR
326 | 018f00b7 | 019000b6 | 00000000 | ERR
327 | 00000000 | 00000000 | 00000000 |  OK
328 | 00000000 | 00000000 | 00000000 |  OK
329 | 00000000 | 00000000 | 018efcca | ERR
330 | 019000c3 | 019200c2 | 00000000 | ERR
331 | 00000000 | 00000000 | 00000000 |  OK
332 | 00000000 | 00000000 | 00000000 |  OK
333 | 00000000 | 00000000 | 0192fcfd | ERR
334 | 018f00cf | 019000d1 | 00000000 | ERR
335 | 00000000 | 00000000 | 00000000 |  OK
336 | 00000000 | 00000000 | 00000000 |  OK
337 | 00000000 | 00000000 | 018dfd29 | ERR
338 | 018f00dc | 019100db | 00000000 | ERR
339 | 00000000 | 00000000 | 00000000 |  OK
340 | 00000000 | 00000000 | 00000000 |  OK
341 | 00000000 | 00000000 | 0192fd4f | ERR
342 | 018f00e9 | 019200eb | 00000000 | ERR
343 | 00000000 | 00000000 | 00000000 |  OK
344 | 00000000 | 00000000 | 00000000 |  OK
345 | 00000000 | 00000000 | 0191fd77 | ERR
346 | 019000f6 | 019100f7 | 00000000 | ERR
347 | 00000000 | 00000000 | 00000000 |  OK
348 | 00000000 | 00000000 | 00000000 |  OK
349 | 00000000 | 00000000 | 0190fd99 | ERR
350 | 01900104 | 01900105 | 00000000 | ERR
351 | 00000000 | 00000000 | 00000000 |  OK
352 | 00000000 | 00000000 | 00000000 |  OK
353 | 00000000 | 00000000 | 018ffdb8 | ERR
354 | 018f0112 | 01910112 | 00000000 | ERR
355 | 00000000 | 00000000 | 00000000 |  OK
